,User,DateTime,Tweet,retweet,iphone,iphonepro
0,bosesubash56,2022-09-14 14:17:04+00:00,nothingchangedaftertransfer mobiletrans wondershare iphone14 first photo photography,False,True,False
2,MarkVenaTechGuy,2022-09-14 14:13:51+00:00,smarttechcheck newsletter thoughts todays farout event tomhanks castaway iphone14 applewatch applewatchseries8 satellite iphone appleevent,False,True,False
3,WinPhanKyle,2022-09-14 14:13:16+00:00,rt iphone14 unboxing time go go go carl cockroach tried stop us failed,True,True,False
4,zaheenhafzer,2022-09-14 14:13:04+00:00,rt first cases…iphone14 iphone 14 14 pro cases everything wanted know,True,True,False
5,Alagesh_pandi,2022-09-14 14:13:01+00:00,unforgettable memories dad ♥️😍 transfering data another mobile best friends harishsiva mathanraj bala praveen ganeshan ♥️♥️♥️ nothingchangedaftertransfer mobiletrans wondershare iphone14,False,True,False
6,aamirtanoli,2022-09-14 14:11:52+00:00,importing iphone14 pakistan passport cost rs 276100 base iphone 14 costs 799 rs 184701 adding 17 sales tax rs 31399 rs 60000 brings total value rs 276100,False,True,False
7,Leronza_Global,2022-09-14 14:09:31+00:00,customize next iphone 14 pro pro max leronza luxury 24k gold finish also available rose gold platinum web whatsapp 971 54 320 9100 apple ios16 iphone14 gold customized luxury gift fashion trending latest cryptos,False,True,False
8,Creditclanhq,2022-09-14 14:09:18+00:00,iphone lovers🫡 anticipate release iphone 14 major features phone always count us offer cheapest means getting phone ’ officially buy iphone iphone14 buynow bnpl creditclan,False,True,False
9,dalva_veronica,2022-09-14 14:08:00+00:00,iphone 14 reviews iphone14 apple appleevent,False,True,False
11,akshayjohri,2022-09-14 14:05:46+00:00,lets celebrate people dont change phone frequently thus contributing one less piece ewaste beeing usingmyphonesince 25 months iphone14 iphone,False,True,False
12,thundertime88,2022-09-14 14:05:44+00:00,rt apple adds globalstar n53 support eu models iphone14 even adds mmwave 5g support japanese version…,True,True,False
13,Gowtham_Vickyy,2022-09-14 14:05:36+00:00,1️⃣follwed liked 2️⃣tagging surprising photo 10 years transfer photo without mustache beard funny couldnt share 3️⃣nothingchangedaftertransfer mobiletrans wondershare iphone14,False,True,False
14,SagarPurohit06,2022-09-14 14:05:32+00:00,via whatsapp iphone14 iphone,False,True,False
15,OluwapelumiPau2,2022-09-14 14:05:18+00:00,love iphone14 assu ico tiktok queenelizabeth check current news iphone14,False,True,False
16,shekhar_twtr,2022-09-14 14:05:07+00:00,saw camera comparison video iphone 14 s22 ultra arun one thing sayyou efforts comparison amazinghats iphone14,False,True,False
17,KattarActivist,2022-09-14 14:03:24+00:00,rt iphone14 prices india compared countries let ’ boycottiphone14 india,True,True,False
18,Symmetric_Group,2022-09-14 14:02:30+00:00,apple iphone 14 launch used hook victims crypto scam apple iphone14 cryptoscam,False,True,False
20,GOWKING27,2022-09-14 14:02:00+00:00,2 years dream friends nothingchangedaftertransfer mobiletrans iphone14,False,True,False
21,nadzi_mouad,2022-09-14 14:01:44+00:00,rt iphone14 unboxing time go go go carl cockroach tried stop us failed,True,True,False
22,cprashant541,2022-09-14 14:01:01+00:00,said said iphone 14 good product apple product various features blablaa didnt mention single make special iphone14,False,True,False
24,chandugouds,2022-09-14 14:00:28+00:00,iphone14 prices india compared countries let ’ boycottiphone14 india,False,True,False
25,nyeinkyaw865,2022-09-14 14:00:09+00:00,rt iphone14 sos messaging testament importance satellite connectivity phone imagine using s…,True,True,False
26,SalbeelM,2022-09-14 13:59:05+00:00,bahria town lahore brilliantly planned community beautifully designed offers best features facilities bahriatownlifestyle bahriatown propertyforoverseas realestateinvestment realestatesales floodsinpakistan2022 maulagroup iphone14 ios16,False,True,False
27,arturofm73,2022-09-14 13:59:02+00:00,rt first time ever apple revealed iphone ad shot 🤯🤯🤯 apple shot iphone14 ad,True,True,False
28,PaulWeber,2022-09-14 13:58:46+00:00,’ beautiful phone love dynamic island iphone14,False,True,False
29,The_Skippah,2022-09-14 13:56:13+00:00,rt first time ever apple revealed iphone ad shot 🤯🤯🤯 apple shot iphone14 ad,True,True,False
30,fnb_autos,2022-09-14 13:55:11+00:00,sale‼️ foreign used 2006 toyota corolla le location lagos state price 3800000 ☎️ 08135853142 fnbautos toyota corolla toyotacorolla lagos electricity ios16 iphone14 business trending 30bg,False,True,False
33,LineSheetsPro,2022-09-14 13:53:49+00:00,flexible way manage notifications dynamicisland flexible way create linesheets linesheetspro appleevent iphone14 apple,False,True,False
35,Gummicube,2022-09-14 13:53:05+00:00,video 🎥 seasonality app store optimization aso short seasonal marketing app work holiday season approaching best time start aso appstore apple iphone14 marketing,False,True,False
36,shardul2971,2022-09-14 13:52:21+00:00,apples flagship a13 bionic chip launched back 2019 still performs ahead todays snapdragon mediatek chips record appleevent iphone14,False,True,False
38,iPhoneMarket0,2022-09-14 13:50:47+00:00,15 years apple iphone iphone14,False,True,False
39,shotbychuka,2022-09-14 13:50:32+00:00,rt first time ever apple revealed iphone ad shot 🤯🤯🤯 apple shot iphone14 ad,True,True,False
40,mondalJeet18,2022-09-14 13:50:26+00:00,rt iphone 14 series hands 🍎 iphone14 trakintech keeptrakin,True,True,False
41,selvamani2212,2022-09-14 13:49:58+00:00,woow vedanta vedanta likely manufacture iphones india stocks stockmarketindia iphone14,False,True,False
43,nattabhong,2022-09-14 13:49:47+00:00,rt iphone users rn ios16 iphone14,True,True,False
44,NishantBareilly,2022-09-14 13:49:13+00:00,iphone 14 pro max hands video iphone14,False,True,False
45,tarun11062004,2022-09-14 13:49:01+00:00,surprising pic would dads picture hes inspiration backbone everything nothingchangedaftertransfer mobiletrans wondershare iphone14,False,True,False
46,yakpaiteaw,2022-09-14 13:48:32+00:00,rt iphone users rn ios16 iphone14,True,True,False
48,imviswanthan,2022-09-14 13:47:05+00:00,thanks tagging nothingchangedaftertransfer mobiletrans wondershare iphone14 steps done👍,False,True,False
49,apnnewsindia,2022-09-14 13:45:45+00:00,flipkartbigbillionday sale ecommerce giant lists phone 11 rs 30000 check aditional bank offers apple iphone11 iphone12 iphone14,False,True,False
50,msd_dru,2022-09-14 13:45:39+00:00,omg😻 im 19 thank recollecting precious moment life im sure mom beautiful day golden smile nothingchangedaftertransfer mobiletrans wondershare iphone14,False,True,False
51,Vimal_israel,2022-09-14 13:45:22+00:00,photo took 2018 surprisingly photo nothingchangedaftertransfer mobiletrans wondershare iphone14,False,True,False
53,robertoblake,2022-09-14 13:43:06+00:00,rt iphone14 unboxing time go go go carl cockroach tried stop us failed,True,True,False
54,Gazzorpazorp,2022-09-14 13:42:33+00:00,iphone14 series reviews,False,True,False
55,appsntips,2022-09-14 13:42:26+00:00,check best magsafe power banks iphone14 series,False,True,False
57,Bagavathi6369,2022-09-14 13:41:18+00:00,looking old old picturei wish could go back lifenot change anythingbut feel things twice 💖 thank making recall memory ❤️ nothingchangedaftertransfer mobiletrans wondershare iphone14 frostkiyara,False,True,False
58,ubberhead100,2022-09-14 13:39:26+00:00,rt first cases…iphone14 iphone 14 14 pro cases everything wanted know,True,True,False
59,PeanutAir,2022-09-14 13:38:59+00:00,rt iphone14 unboxing time go go go carl cockroach tried stop us failed,True,True,False
60,MannyCara,2022-09-14 13:38:36+00:00,welp canceled iphone14 pro max preorder,False,True,False
62,Vasthunaa,2022-09-14 13:37:43+00:00,real color tshirt world difference right iphone14,False,True,False
63,lakshyalark,2022-09-14 13:37:35+00:00,apple iphone ios 16 compatible devices iphone 14 series iphone 13 series iphone 12 series iphone 11 series iphone xs iphone xs max iphone xr iphone x iphone 8 series iphone se 2nd gen iphone se 3rd gen apple ios ios16 iphone iphone14,False,True,False
64,studio2702,2022-09-14 13:37:27+00:00,iphone14 pro pro max review apple ’ dynamic island worth visit …,False,True,False
65,metamonkeystv,2022-09-14 13:35:40+00:00,iphone 14 apples island iphone14 apple iphone,False,True,False
66,yasskhan76,2022-09-14 13:34:30+00:00,rt iphone14 unboxing time go go go carl cockroach tried stop us failed,True,True,False
